Subject,Gait,Sensor,TP,FP,FN,PPV,Sensitivity,RCA,SDA
9,irregular,2,175,947,951,0.15597148,0.155417407,4.2331,0.15569395
9,semiregular,2,605,72,116,0.893648449,0.839112344,0.9715,0.865522175
9,regular,3,1007,1,198,0.999007937,0.835684647,0.9115,0.910076819
9,irregular,3,220,92,93,0.705128205,0.702875399,1.1767,0.704
9,semiregular,3,658,38,46,0.945402299,0.934659091,0.9943,0.94
10,regular,1,776,22,449,0.972431078,0.633469388,0.7919,0.767177459
10,irregular,1,134,396,398,0.252830189,0.251879699,2.1538,0.252354049
10,semiregular,1,525,92,166,0.85089141,0.759768452,0.9466,0.802752294
10,regular,2,929,25,141,0.973794549,0.868224299,0.9448,0.91798419
10,irregular,2,157,543,545,0.224285714,0.223646724,2.8421,0.223965763
10,semiregular,2,579,104,107,0.8477306,0.844023324,1.0457,0.8458729
10,regular,3,1007,139,141,0.878708551,0.8771777,1.1321,0.877942459
10,irregular,3,197,109,110,0.64379085,0.641693811,1.2429,0.64274062
10,semiregular,3,587,53,84,0.9171875,0.874813711,0.9771,0.895499619
11,regular,1,882,1,371,0.998867497,0.703910615,0.829,0.825842697
11,irregular,1,116,418,420,0.217228464,0.21641791,2.2427,0.21682243
11,semiregular,1,543,161,165,0.771306818,0.766949153,1.0114,0.769121813
11,regular,2,773,0,590,1,0.567131328,0.7262,0.723782772
11,irregular,2,105,456,458,0.187165775,0.186500888,2.3556,0.18683274
11,semiregular,2,487,108,315,0.818487395,0.60723192,0.8543,0.697208304
11,regular,3,1046,30,31,0.972118959,0.971216342,1.0065,0.971667441
11,irregular,3,195,99,100,0.663265306,0.661016949,1.2343,0.662139219
11,semiregular,3,639,75,76,0.894957983,0.893706294,1.0214,0.8943317
12,regular,1,814,2,381,0.99754902,0.681171548,0.8133,0.809547489
12,irregular,1,98,426,428,0.187022901,0.186311787,2.5784,0.186666667
12,semiregular,1,527,176,180,0.749644381,0.745403112,1.103,0.74751773
12,regular,2,973,10,55,0.98982706,0.946498054,0.9791,0.967677772
12,irregular,2,102,603,606,0.144680851,0.144067797,3.4706,0.144373673
12,semiregular,2,526,189,193,0.735664336,0.731571627,1.1217,0.733612273
12,regular,3,939,11,120,0.988421053,0.886685552,0.9484,0.93479343
12,irregular,3,184,119,120,0.607260726,0.605263158,1.4902,0.606260297
12,semiregular,3,570,82,83,0.874233129,0.872894334,1.0187,0.873563218
13,regular,1,930,1,135,0.998925886,0.873239437,0.935,0.931863727
13,irregular,1,98,649,651,0.131191432,0.130841121,3.4676,0.131016043
13,semiregular,1,700,145,149,0.828402367,0.824499411,1.0417,0.826446281
13,regular,2,965,32,38,0.967903711,0.962113659,1.003,0.965
13,irregular,2,144,1069,1072,0.118713932,0.118421053,5.6296,0.118567312
13,semiregular,2,697,130,133,0.84280532,0.839759036,1.0184,0.841279421
13,regular,3,927,11,134,0.988272921,0.873704053,0.939,0.927463732
13,irregular,3,183,180,181,0.504132231,0.502747253,1.6852,0.50343879
13,semiregular,3,715,36,163,0.952063915,0.814350797,0.9227,0.877839165
14,regular,1,873,1,353,0.998855835,0.712071778,0.8346,0.831428571
14,irregular,1,94,397,398,0.191446029,0.191056911,2.2673,0.191251272
14,semiregular,1,714,138,258,0.838028169,0.734567901,0.9354,0.782894737
14,regular,2,925,1,249,0.998920086,0.7879046,0.884,0.880952381
14,irregular,2,134,695,697,0.161640531,0.161251504,3.8295,0.161445783
14,semiregular,2,871,195,199,0.817073171,0.814018692,1.172,0.815543071
14,regular,3,920,0,262,1,0.778341794,0.8755,0.875356803
14,irregular,3,187,123,125,0.603225806,0.599358974,1.4378,0.601286174
14,semiregular,3,632,202,357,0.757793765,0.639029323,0.9168,0.693362589
15,regular,1,876,1,171,0.998859749,0.836676218,0.9139,0.910602911
15,irregular,1,88,450,451,0.163568773,0.163265306,2.4725,0.163416899
15,semiregular,1,669,193,197,0.776102088,0.772517321,1.1189,0.774305556
15,regular,2,864,2,192,0.997690531,0.818181818,0.9046,0.899063476
15,irregular,2,118,603,605,0.163661581,0.163208852,3.3165,0.163434903
15,semiregular,2,677,138,140,0.830674847,0.828641371,1.0556,0.829656863
15,regular,3,930,16,51,0.983086681,0.948012232,0.9824,0.965230929
15,irregular,3,186,76,77,0.709923664,0.707224335,1.2064,0.708571429
15,semiregular,3,661,38,185,0.945636624,0.781323877,0.9044,0.85566343
16,regular,1,850,4,511,0.995316159,0.624540779,0.7728,0.767494357
16,irregular,1,128,441,443,0.224956063,0.224168126,2.0993,0.224561404
16,semiregular,1,562,136,139,0.805157593,0.80171184,1.0294,0.803431022
16,regular,2,1029,4,152,0.996127783,0.871295512,0.9351,0.929539295
16,irregular,2,145,575,578,0.201388889,0.20055325,2.6581,0.200970201
16,semiregular,2,583,144,146,0.801925722,0.799725652,1.0705,0.800824176
16,regular,3,1054,8,100,0.992467043,0.913344887,0.9594,0.951263538
